feature,importance
PageValues,0.38338108821214933
ExitRates,0.09276178594070075
ProductRelated_Duration,0.0870598622942284
ProductRelated,0.07279587536080605
Administrative_Duration,0.05862618359718759
BounceRates,0.05644205747453667
Administrative,0.04237201442846323
Month_encoded,0.04139032635569927
TrafficType,0.031095998182667645
Region,0.029499235860465736
Informational_Duration,0.026747543846510315
Browser,0.018205259136111995
OperatingSystems,0.017849783935036466
Informational,0.016713870537815142
VisitorType_encoded,0.011919987984744407
Weekend,0.00970045224740053
SpecialDay,0.003438674605476577
